Rk	Player	Team	Pos	Rec	Yds	Avg	Yds/G	Lng	TD	20+	40+	1st	1st%	FUM
1	Antonio Brown	PIT	WR	52	765	14.7	109.3	51T	3	12	3	34	65.4	1
2	A.J. Green	CIN	WR	35	545	15.6	90.8	77T	3	7	3	23	65.7	1
3	Brandin Cooks	NE	WR	28	537	19.2	76.7	54	3	8	4	22	78.6	0
4	Adam Thielen	MIN	WR	43	529	12.3	75.6	45	0	9	2	24	55.8	3
5	Tyreek Hill	KC	WR	36	515	14.3	73.6	75T	3	5	2	22	61.1	0
6	T.Y. Hilton	IND	WR	27	512	19.0	73.1	63	1	8	3	20	74.1	1
7	Zach Ertz	PHI	TE	39	494	12.7	70.6	53	5	5	2	26	66.7	1
7	Larry Fitzgerald	ARI	WR	45	494	11.0	70.6	37	3	7	0	27	60.0	1
9	Keenan Allen	LAC	WR	36	487	13.5	69.6	50	1	6	2	27	75.0	0
10	Pierre Garcon	SF	WR	38	483	12.7	69.0	59	0	6	1	24	63.2	0
11	Julio Jones	ATL	WR	34	466	13.7	77.7	34	1	3	0	25	73.5	0
12	Mike Evans	TB	WR	34	459	13.5	76.5	41	4	4	1	27	79.4	1
13	Rob Gronkowski	NE	TE	29	452	15.6	75.3	53T	4	7	2	22	75.9	1
14	Kelvin Benjamin	CAR	WR	29	436	15.0	62.3	43	1	5	1	20	69.0	0
15	Travis Kelce	KC	TE	37	423	11.4	60.4	44	3	7	1	23	62.2	0
16	Michael Thomas	NO	WR	35	403	11.5	67.2	33	2	6	0	24	68.6	0
17	Stefon Diggs	MIN	WR	23	395	17.2	79.0	59T	4	8	2	17	73.9	0
18	Rishard Matthews	TEN	WR	27	393	14.6	56.1	55T	1	5	1	19	70.4	0
19	Demaryius Thomas	DEN	WR	30	389	13.0	64.8	40	0	8	1	18	60.0	1
20	DeAndre Hopkins	HOU	WR	37	382	10.3	63.7	34T	6	4	0	25	67.6	0
21	Robert Woods	LA	WR	27	381	14.1	54.4	31	0	8	0	19	70.4	1
22	Chris Hogan	NE	WR	28	378	13.5	54.0	47T	5	6	1	18	64.3	0
23	Doug Baldwin	SEA	WR	36	376	10.4	62.7	36	2	5	0	20	55.6	0
24	Nelson Agholor	PHI	WR	24	366	15.3	52.3	72T	5	5	2	16	66.7	0
24	Chris Thompson	WAS	RB	23	366	15.9	61.0	74	3	7	2	15	65.2	0
26	Jarvis Landry	MIA	WR	45	365	8.1	60.8	29	3	1	0	26	57.8	0
27	Marqise Lee	JAX	WR	24	363	15.1	51.9	45	0	5	1	18	75.0	1
27	Golden Tate	DET	WR	36	363	10.1	60.5	45T	2	2	1	17	47.2	0
29	DeSean Jackson	TB	WR	22	360	16.4	60.0	41	2	8	1	19	86.4	0
30	Amari Cooper	OAK	WR	29	356	12.3	50.9	45T	3	5	1	16	55.2	1
31	Alshon Jeffery	PHI	WR	26	354	13.6	50.6	37	2	3	0	19	73.1	0
32	Ted Ginn	NO	WR	22	353	16.0	58.8	47	2	7	3	15	68.2	0
33	Davante Adams	GB	WR	30	351	11.7	50.1	41	5	3	1	20	66.7	0
34	Marquise Goodwin	SF	WR	20	349	17.5	49.9	51	0	4	3	16	80.0	0
35	Devin Funchess	CAR	WR	31	346	11.2	49.4	24	3	5	0	20	64.5	0
36	Allen Hurns	JAX	WR	26	345	13.3	49.3	50	2	4	1	19	73.1	0
37	Evan Engram	NYG	TE	30	342	11.4	48.9	31	3	5	0	19	63.3	0
38	Cameron Brate	TB	TE	27	341	12.6	56.8	35	4	3	0	19	70.4	0
39	Robby Anderson	NYJ	WR	21	331	15.8	47.3	69T	2	5	2	13	61.9	0
40	Christian McCaffrey	CAR	RB	44	329	7.5	47.0	37	2	2	0	17	38.6	0
